# Physiological Plant Ecology  I, Springer, DOI: 10.1007/978-3-642-68090-8
Wavelength	Chlorophyll a	Chlorophyll b
561.5	0.01183	0.08794
561.6	0.01193	0.08791
561.8	0.01211	0.08791
562	0.01238	0.08793
562.2	0.01266	0.08797
562.4	0.01291	0.08794
562.6	0.01316	0.0879
562.8	0.0134	0.08786
563	0.0136	0.08779
563.2	0.01371	0.08773
563.3	0.01384	0.08769
563.5	0.01395	0.08765
563.7	0.01406	0.08762
563.9	0.01428	0.0876
564.1	0.01451	0.08759
564.3	0.01474	0.08759
564.5	0.01491	0.0876
564.7	0.01512	0.08762
564.8	0.01536	0.08765
565	0.01559	0.08769
565.2	0.01585	0.08773
565.4	0.01611	0.08779
565.6	0.01636	0.08786
565.8	0.01663	0.0879
566	0.01695	0.08794
566.2	0.01729	0.08797
566.4	0.01764	0.088
566.5	0.01798	0.08802
566.7	0.01832	0.08803
566.9	0.01857	0.08804
567.1	0.01884	0.08804
567.3	0.01913	0.08802
567.5	0.01942	0.088
567.7	0.01973	0.088
567.9	0.02012	0.088
568	0.02052	0.088
568.2	0.02084	0.088
568.4	0.02105	0.08793
568.6	0.02131	0.08789
568.8	0.0216	0.08788
569	0.0219	0.0879
569.2	0.02234	0.08791
569.4	0.0228	0.08796
569.6	0.02327	0.08804
569.7	0.02376	0.08808
569.9	0.02424	0.08816
570.1	0.02469	0.0883
570.3	0.02491	0.08847
570.5	0.02526	0.08868
570.7	0.02565	0.08892
570.9	0.02607	0.08918
571.1	0.0264	0.08942
571.2	0.02679	0.08969
571.4	0.0272	0.08997
571.6	0.02771	0.09025
571.8	0.02824	0.09052
572	0.02879	0.09078
572.2	0.02933	0.09102
572.4	0.02968	0.09121
572.6	0.03005	0.09138
572.8	0.03043	0.09151
572.9	0.0309	0.09152
573.1	0.03151	0.09163
573.3	0.03216	0.09175
573.5	0.03284	0.09187
573.7	0.03344	0.09188
573.9	0.03401	0.09196
574.1	0.03459	0.09207
